ano;regiao;pop_faixas;em;acesso_esgoto;pbf;desocupados;informalidade;municipio_rural
2015;Norte;10.000-24.999;40,88;0,56;88,50;83,76;89,55;Rural
2015;Norte;10.000-24.999;30,58;27,79;77,18;88,24;73,17;Rural
2015;Norte;10.000-24.999;8,82;4,96;82,47;77,52;69,33;Rural
2015;Norte;10.000-24.999;27,42;27,99;77,15;93,93;38,46;Rural
2015;Norte;10.000-24.999;45,09;27,05;86,00;88,77;65,62;Urbano
2015;Norte;10.000-24.999;43,48;0,36;91,33;94,74;0,00;Rural
2015;Norte;25.000-49.999;23,65;0,76;78,87;82,43;70,98;Rural
2015;Norte;A partir de 100.000;18,99;0,76;75,02;90,88;77,10;Rural
2015;Norte;50.000-99.999;11,93;0,09;90,17;73,73;83,04;Rural
2015;Norte;25.000-49.999;14,18;0,18;89,44;77,39;38,93;Rural
2015;Norte;50.000-99.999;18,92;0,32;90,32;81,00;89,45;Rural
2015;Norte;25.000-49.999;14,78;4,58;89,15;88,46;86,00;Rural
2015;Norte;A partir de 100.000;24,55;0,56;73,10;76,83;70,31;Urbano
2015;Norte;A partir de 100.000;22,87;5,64;71,39;81,33;75,15;Urbano
2015;Norte;25.000-49.999;10,17;0,20;81,19;83,54;73,03;Rural
2015;Norte;25.000-49.999;14,17;0,63;88,08;76,10;54,17;Rural
2015;Norte;10.000-24.999;15,72;1,80;84,33;84,55;74,83;Rural
2015;Norte;25.000-49.999;17,14;1,22;95,12;97,56;33,33;Rural
2015;Norte;50.000-99.999;17,20;0,27;87,94;68,47;93,35;Rural
2015;Norte;A partir de 100.000;16,42;2,60;75,57;73,22;73,70;Rural
2015;Norte;A partir de 100.000;15,36;22,93;81,03;93,66;74,94;Urbano
2015;Norte;50.000-99.999;20,92;3,78;68,66;79,19;87,72;Rural
2015;Norte;A partir de 100.000;15,79;1,32;82,57;80,42;82,35;Urbano
2015;Norte;25.000-49.999;16,27;1,93;82,03;96,25;67,65;Rural
2015;Norte;A partir de 100.000;7,05;0,16;91,31;92,08;53,30;Rural
2015;Norte;10.000-24.999;17,72;0,66;89,60;81,21;66,32;Rural
2015;Norte;10.000-24.999;13,18;0,13;86,51;89,45;96,15;Rural
2015;Norte;A partir de 100.000;23,48;1,93;89,64;81,43;62,37;Rural
2015;Norte;50.000-99.999;34,44;5,18;62,22;66,85;75,27;Urbano
2015;Norte;50.000-99.999;16,36;0,89;72,51;79,87;72,07;Urbano
2015;Norte;50.000-99.999;16,55;1,37;79,00;80,25;61,48;Rural
2015;Norte;A partir de 100.000;24,69;0,95;63,52;74,75;77,58;Urbano
2015;Norte;10.000-24.999;9,09;1,02;89,07;88,70;100,00;Rural
2015;Norte;25.000-49.999;14,41;6,74;77,80;97,64;2,88;Urbano
2015;Norte;25.000-49.999;9,86;0,62;85,56;78,05;83,87;Rural
2015;Norte;10.000-24.999;50,00;2,98;78,94;87,29;81,82;Urbano
2015;Norte;25.000-49.999;8,32;0,22;88,10;83,64;63,60;Rural
2015;Norte;25.000-49.999;20,70;1,59;85,80;91,74;60,74;Rural
2015;Norte;50.000-99.999;16,75;1,62;61,09;62,15;66,91;Urbano
2015;Norte;25.000-49.999;21,87;0,10;83,74;96,86;66,67;Rural
2015;Norte;10.000-24.999;18,13;0,16;88,12;70,26;42,93;Rural
2015;Norte;25.000-49.999;12,47;0,13;80,74;84,97;72,73;Urbano
2015;Norte;25.000-49.999;8,70;0,20;85,84;75,58;92,25;Rural
2015;Norte;25.000-49.999;20,63;0,99;89,33;56,16;97,57;Rural
2015;Norte;50.000-99.999;17,13;0,17;83,45;78,84;90,34;Rural
2015;Norte;25.000-49.999;17,22;1,47;84,46;78,23;80,00;Rural
2015;Norte;25.000-49.999;22,29;0,39;87,74;75,26;61,90;Rural
2015;Norte;A partir de 100.000;17,93;0,20;77,61;84,06;79,48;Urbano
2015;Norte;25.000-49.999;14,12;0,67;86,38;82,10;73,64;Rural
2015;Norte;10.000-24.999;4,35;1,04;87,05;72,86;94,74;Rural
2015;Norte;25.000-49.999;18,07;0,79;86,98;70,36;85,61;Urbano
2015;Norte;50.000-99.999;26,05;0,50;82,65;83,76;88,62;Rural
2015;Norte;25.000-49.999;15,33;0,29;75,29;76,09;75,29;Urbano
2015;Norte;A partir de 100.000;21,49;3,83;59,57;73,62;63,08;Urbano
2015;Norte;25.000-49.999;15,90;0,74;87,82;84,62;89,36;Rural
2015;Norte;A partir de 100.000;18,69;0,52;74,58;76,66;77,98;Urbano
2015;Norte;25.000-49.999;19,06;0,67;87,75;73,43;40,00;Rural
2015;Norte;25.000-49.999;22,09;1,04;82,53;92,40;87,04;Urbano
2015;Norte;50.000-99.999;23,78;0,17;85,40;65,83;79,52;Rural
2015;Norte;50.000-99.999;24,87;0,39;87,07;77,56;56,79;Rural
2015;Norte;25.000-49.999;27,41;0,56;93,78;81,65;96,84;Rural
2015;Norte;25.000-49.999;18,52;3,63;80,33;75,61;95,45;Urbano
2015;Norte;50.000-99.999;15,81;1,36;81,47;79,77;72,98;Rural
2015;Norte;50.000-99.999;24,54;0,25;84,43;81,59;91,37;Rural
